track_name,artist,album
Blinding Lights,The Weeknd,After Hours
Dance Monkey,Tones And I,Dance Monkey
The Box,Roddy Ricch,Please Excuse Me For Being Antisocial
Roses,SAINt JHN,Roses
Don't Start Now,Dua Lipa,Future Nostalgia
ROCKSTAR,DaBaby,BLAME IT ON BABY
Watermelon Sugar,Harry Styles,Fine Line
death bed,Powfu,death bed
Falling,Trevor Daniel,Nicotine
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
Tusa,KAROL G,Tusa
ROXANNE,Arizona Zervas,ROXANNE
Circles,Post Malone,Hollywood's Bleeding
Blueberry Faygo,Lil Mosey,Certified Hitmaker
Intentions,Justin Bieber,Changes
Toosie Slide,Drake,Dark Lane Demo Tapes
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
Say So,Doja Cat,Hot Pink
Memories,Maroon 5,Memories
Life Is Good,Future,High Off Life
Savage Love,Jawsh 685,Savage Love
Adore You,Harry Styles,Fine Line
Breaking Me,Topic,Breaking Me
Mood,24kGoldn,Mood
everything i wanted,Billie Eilish,everything i wanted
Señorita,Shawn Mendes,Shawn Mendes
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
WAP,Cardi B,WAP
Sunday Best,Surfaces,Where the Light Is
Godzilla,Eminem,Music To Be Murdered By
Yummy,Justin Bieber,Changes
Break My Heart,Dua Lipa,Future Nostalgia
Dynamite,BTS,Dynamite
Supalonely,BENEE,Hey u x
ily,Surf Mesa,ily
Rain On Me,Lady Gaga,Chromatica
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM
Sunflower,Post Malone,Hollywood's Bleeding
Hawái,Maluma,PAPI JUANCHO
Ride It,Regard,Ride It
goosebumps,Travis Scott,Birds In The Trap Sing McKnight
RITMO,Black Eyed Peas,Translation
THE SCOTTS,THE SCOTTS,THE SCOTTS
Safaera,Bad Bunny,YHLQMDLG
lovely,Billie Eilish,lovely
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance
Stuck with U,Ariana Grande,Stuck with U
If the World Was Ending,JP Saxe,If the World Was Ending
Physical,Dua Lipa,Future Nostalgia
SICKO MODE,Travis Scott,ASTROWORLD
