track_name,artist,album,image
Blinding Lights,The Weeknd,After Hours,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/FEQ_July_2018_The_Weeknd_%2844778856382%29_%28cropped%29.jpg/220px-FEQ_July_2018_The_Weeknd_%2844778856382%29_%28cropped%29.jpg
Dance Monkey,Tones And I,Dance Monkey,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Tones_And_I_%2850118162967%29_%28cropped%29.jpg/220px-Tones_And_I_%2850118162967%29_%28cropped%29.jpg
The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,http://upload.wikimedia.org/wikipedia/commons/5/5d/Roddy_Ricch_2019.png
Roses,SAINt JHN,Roses,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/SAINt_JHN_2018.jpg/220px-SAINt_JHN_2018.jpg
Don't Start Now,Dua Lipa,Future Nostalgia,
ROCKSTAR,DaBaby,BLAME IT ON BABY,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/DaBaby_-_The_Know_Show.png/220px-DaBaby_-_The_Know_Show.png
Watermelon Sugar,Harry Styles,Fine Line,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Harry_Styles_November_2014.jpg/220px-Harry_Styles_November_2014.jpg
death bed,Powfu,death bed,
Falling,Trevor Daniel,Nicotine,
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lewis_Capaldi.jpg/220px-Lewis_Capaldi.jpg
Tusa,KAROL G,Tusa,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Karol_G_Telemedell%C3%ADn.jpg/220px-Karol_G_Telemedell%C3%ADn.jpg
ROXANNE,Arizona Zervas,ROXANNE,
Circles,Post Malone,Hollywood's Bleeding,http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Post_Malone_at_the_2019_American_Music_Awards.png/220px-Post_Malone_at_the_2019_American_Music_Awards.png
Blueberry Faygo,Lil Mosey,Certified Hitmaker,http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lil_Mosey_%2841879461061%29_%28retouched%29.jpg/220px-Lil_Mosey_%2841879461061%29_%28retouched%29.jpg
Intentions,Justin Bieber,Changes,
Toosie Slide,Drake,Dark Lane Demo Tapes,http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Drake_at_The_Carter_Effect_2017_%2836818935200%29_%28cropped%29.jpg/220px-Drake_at_The_Carter_Effect_2017_%2836818935200%29_%28cropped%29.jpg
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lewis_Capaldi.jpg/220px-Lewis_Capaldi.jpg
Say So,Doja Cat,Hot Pink,
Memories,Maroon 5,Memories,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Maroon_5_performing_in_Sydney.jpg/220px-Maroon_5_performing_in_Sydney.jpg
Life Is Good,Future,High Off Life,
Savage Love,Jawsh 685,Savage Love,
Adore You,Harry Styles,Fine Line,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Harry_Styles_November_2014.jpg/220px-Harry_Styles_November_2014.jpg
Breaking Me,Topic,Breaking Me,
Mood,24kGoldn,Mood,
everything i wanted,Billie Eilish,everything i wanted,
Señorita,Shawn Mendes,Shawn Mendes,
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",
WAP,Cardi B,WAP,
Sunday Best,Surfaces,Where the Light Is,
Godzilla,Eminem,Music To Be Murdered By,
Yummy,Justin Bieber,Changes,
Break My Heart,Dua Lipa,Future Nostalgia,
Dynamite,BTS,Dynamite,
Supalonely,BENEE,Hey u x,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/BENEE_%2850117380403%29_%28cropped%29.jpg/220px-BENEE_%2850117380403%29_%28cropped%29.jpg
ily,Surf Mesa,ily,http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Surf_Mesa_Powell_Adderley.png/220px-Surf_Mesa_Powell_Adderley.png
Rain On Me,Lady Gaga,Chromatica,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Lady_Gaga_interview_2016.jpg/220px-Lady_Gaga_interview_2016.jpg
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Travis_Scott_-_Openair_Frauenfeld_2019_08.jpg/220px-Travis_Scott_-_Openair_Frauenfeld_2019_08.jpg
Sunflower,Post Malone,Hollywood's Bleeding,http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Post_Malone_at_the_2019_American_Music_Awards.png/220px-Post_Malone_at_the_2019_American_Music_Awards.png
Hawái,Maluma,PAPI JUANCHO,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Maluma_-_Espa%C3%A7o_das_Am%C3%A9ricas_%2837591053894%29.jpg/220px-Maluma_-_Espa%C3%A7o_das_Am%C3%A9ricas_%2837591053894%29.jpg
Ride It,Regard,Ride It,
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Travis_Scott_-_Openair_Frauenfeld_2019_08.jpg/220px-Travis_Scott_-_Openair_Frauenfeld_2019_08.jpg
RITMO,Black Eyed Peas,Translation,
THE SCOTTS,THE SCOTTS,THE SCOTTS,
Safaera,Bad Bunny,YHLQMDLG,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Marisa_Tomei_TIFF_2012_%28cropped%29.jpg/220px-Marisa_Tomei_TIFF_2012_%28cropped%29.jpg
lovely,Billie Eilish,lovely,
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Juice_Wrld_VMAs.png/220px-Juice_Wrld_VMAs.png
Stuck with U,Ariana Grande,Stuck with U,
If the World Was Ending,JP Saxe,If the World Was Ending,
Physical,Dua Lipa,Future Nostalgia,
SICKO MODE,Travis Scott,ASTROWORLD,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Travis_Scott_-_Openair_Frauenfeld_2019_08.jpg/220px-Travis_Scott_-_Openair_Frauenfeld_2019_08.jpg
